fab,point,time,abnormal_type,abnormal_report,analysis_log,action_guide,reference_image_path,current_image_path,diff_visualization_path
M00,spot_1,time_1,이상 유형 1,기준 시점 대비 작업장 바닥 및 적재 영역에서 변경 후보가 감지되었습니다.,"DINO 기반 영역 비교 결과, 통로 주변과 적재물 인접 영역에 다수의 변경 박스가 생성되었습니다.",현장 담당자가 통로 확보 상태와 임시 적치물을 확인하고 필요 시 정리 조치합니다.,./test_images/spot_1/time_1/time_0,./test_images/spot_1/time_1/time_1,./test_images/spot_1/time_1/dino_time_1
M00,spot_1,time_2,이상 유형 2,기준 시점 대비 작업장 내 물체 배치 변화가 감지되었습니다.,현재 이미지에서 기준 이미지와 다른 후보 영역이 검출되어 변경 케이스로 분류했습니다.,변경 위치의 작업 허가 여부를 확인하고 안전 표지 및 적치 기준 준수 여부를 점검합니다.,./test_images/spot_1/time_2/time_0,./test_images/spot_1/time_2/time_2,./test_images/spot_1/time_2/dino_time_2
M00,spot_1,time_3,이상 유형 3,바닥면과 주변 적재 영역에서 기준 시점과 다른 패턴이 확인되었습니다.,diff 시각화에서 통로와 작업 구역 경계 근처의 변화 후보가 표시되었습니다.,통행 방해 가능성이 있는 물체를 확인하고 작업장 5S 기준에 맞게 복구합니다.,./test_images/spot_1/time_3/time_0,./test_images/spot_1/time_3/time_3,./test_images/spot_1/time_3/dino_time_3
M00,spot_1,time_4,이상 유형 4,기준 이미지 대비 현재 이미지에서 신규 적치 또는 위치 이동 가능성이 있습니다.,객체 후보 박스가 우측 적재물 주변과 바닥 영역에 집중되어 있습니다.,관리자는 해당 시간대 작업 내역과 임시 적치 승인 여부를 대조합니다.,./test_images/spot_1/time_4/time_0,./test_images/spot_1/time_4/time_4,./test_images/spot_1/time_4/dino_time_4
M00,spot_1,time_5,이상 유형 5,현재 시점에서 기준 시점과 다른 작업장 상태가 감지되었습니다.,"비교 모델이 여러 영역을 변경 후보로 표시했으며, 현장 확인이 필요합니다.",우선 통로와 안전 표지 주변을 확인한 뒤 필요한 복구 조치를 기록합니다.,./test_images/spot_1/time_5/time_0,./test_images/spot_1/time_5/time_5,./test_images/spot_1/time_5/dino_time_5
M01,spot_1_copy,time_1,이상 유형 1,기준 시점 대비 작업장 바닥 및 적재 영역에서 변경 후보가 감지되었습니다.,"DINO 기반 영역 비교 결과, 통로 주변과 적재물 인접 영역에 다수의 변경 박스가 생성되었습니다.",현장 담당자가 통로 확보 상태와 임시 적치물을 확인하고 필요 시 정리 조치합니다.,./test_images/spot_1_copy/time_1/time_0,./test_images/spot_1_copy/time_1/time_1,./test_images/spot_1_copy/time_1/dino_time_1
M01,spot_1_copy,time_2,이상 유형 2,기준 시점 대비 작업장 내 물체 배치 변화가 감지되었습니다.,현재 이미지에서 기준 이미지와 다른 후보 영역이 검출되어 변경 케이스로 분류했습니다.,변경 위치의 작업 허가 여부를 확인하고 안전 표지 및 적치 기준 준수 여부를 점검합니다.,./test_images/spot_1_copy/time_2/time_0,./test_images/spot_1_copy/time_2/time_2,./test_images/spot_1_copy/time_2/dino_time_2
M01,spot_1_copy,time_3,이상 유형 3,바닥면과 주변 적재 영역에서 기준 시점과 다른 패턴이 확인되었습니다.,diff 시각화에서 통로와 작업 구역 경계 근처의 변화 후보가 표시되었습니다.,통행 방해 가능성이 있는 물체를 확인하고 작업장 5S 기준에 맞게 복구합니다.,./test_images/spot_1_copy/time_3/time_0,./test_images/spot_1_copy/time_3/time_3,./test_images/spot_1_copy/time_3/dino_time_3
M01,spot_1_copy,time_4,이상 유형 4,기준 이미지 대비 현재 이미지에서 신규 적치 또는 위치 이동 가능성이 있습니다.,객체 후보 박스가 우측 적재물 주변과 바닥 영역에 집중되어 있습니다.,관리자는 해당 시간대 작업 내역과 임시 적치 승인 여부를 대조합니다.,./test_images/spot_1_copy/time_4/time_0,./test_images/spot_1_copy/time_4/time_4,./test_images/spot_1_copy/time_4/dino_time_4
M01,spot_1_copy,time_5,이상 유형 5,현재 시점에서 기준 시점과 다른 작업장 상태가 감지되었습니다.,"비교 모델이 여러 영역을 변경 후보로 표시했으며, 현장 확인이 필요합니다.",우선 통로와 안전 표지 주변을 확인한 뒤 필요한 복구 조치를 기록합니다.,./test_images/spot_1_copy/time_5/time_0,./test_images/spot_1_copy/time_5/time_5,./test_images/spot_1_copy/time_5/dino_time_5
